time,events,wearable,soc,cvip,cpu,gpu,5v_sys,wlan,nvme_pwr1,nvme_pwr3,nvme_pwr2,vddp_run,vddp_s5,LPDDR_PWR,PROC_TOT_PWR,THERM_TOT_PWR,THERM_TOT_PWR-throttle,Tboard_soc1tmp,Tdiode_soc1tmp,battery,chrgr,ddr1,ddr2,mem,mero2,vrm
time,event,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,power,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal,thermal
16.203,,6103000,1509000,1530000,1189000,356000,7258000,242000,0,5000,7000,72000,65000,2421000,4023000,6444000,25000000,123.8,120.65,91.22,116.6,121.8866,119.75,114.2366,122.9,119.6366
16.403,,6103000,1398000,1362000,1008000,105000,7258000,226000,0,5000,4000,68000,65000,2493000,3916000,6409000,25000000,123.8,120.65,91.22,116.6,121.8866,119.75,114.2366,122.9,119.6366
16.603,,6103000,1376000,1339000,987000,104000,7258000,226000,0,5000,7000,68000,65000,2517000,4647000,7164000,25000000,123.8,120.65,91.22,116.6,121.8866,119.75,114.2366,122.9,119.6366
16.802,,6103000,1198000,1378000,1530000,796000,7326000,226000,10000,3000,11000,68000,68000,2527000,3821000,6348000,25000000,123.8,120.65,91.22,116.6,121.8866,119.75,114.2366,122.9,119.6366
17.003,,6304000,1509000,1781000,1310000,105000,7326000,215000,10000,3000,4000,68000,68000,2528000,4095000,6623000,25000000,123.8,120.65,91.22,116.6,121.8866,119.75,114.2366,122.9,119.6366
17.203,,6304000,1487000,1354000,1870000,691000,7411000,215000,10000,3000,11000,68000,68000,2523000,4594000,7117000,25000000,123.8,120.65,91.22,116.6,121.8866,119.6366,114.125,122.9,119.525
17.402,,6304000,1207000,1378000,1940000,5383000,7411000,215000,10000,3000,7000,68000,65000,2480000,4631000,7111000,25000000,123.8,120.65,91.22,116.6,121.8866,119.6366,114.125,122.9,119.525
17.604,,6158000,1420000,1496000,1991000,838000,7411000,203000,10000,651000,0,86000,68000,2642000,5452000,8094000,25000000,123.8,120.65,91.22,116.6,121.8866,119.6366,114.125,122.9,119.525
17.803,,6158000,1243000,1506000,1351000,838000,7159000,203000,0,32000,4000,68000,68000,2515000,4552000,7067000,25000000,123.8,120.65,91.22,116.6,121.8866,119.6366,114.125,122.9,119.525
18.002,,6158000,1487000,2684000,1371000,105000,7159000,203000,10000,78000,4000,72000,68000,2444000,4400000,6844000,25000000,123.8,120.65,91.22,116.6,121.8866,119.6366,114.125,122.9,119.525
18.203,,6045000,1243000,1971000,1331000,105000,7159000,276000,0,32000,4000,68000,68000,2467000,3932000,6399000,25000000,123.8,120.65,91.22,116.6,121.8866,119.6366,114.125,122.9,119.6366
18.403,,6045000,1265000,1781000,1471000,105000,7181000,276000,0,32000,11000,68000,68000,2469000,3724000,6193000,25000000,123.8,120.65,91.22,116.6,121.8866,119.6366,114.125,122.9,119.6366
18.602,,6045000,1162000,2161000,1573000,105000,7181000,276000,0,32000,4000,68000,68000,2408000,4807000,7215000,25000000,123.8,120.65,91.22,116.6,121.8866,119.6366,114.125,122.9,119.6366
18.802,,6063000,1028000,2194000,1331000,105000,7181000,234000,0,5000,11000,68000,68000,2426000,4495000,6921000,25000000,123.8,120.65,91.22,116.6,121.8866,119.6366,114.125,122.9,119.6366
19.002,,6063000,1309000,1805000,1854000,105000,7402000,234000,0,5000,4000,68000,68000,2450000,4922000,7372000,25000000,123.8,120.65,91.22,116.6,121.8866,119.6366,114.125,122.9,119.6366
