Time (s),% Texture Fetch Stall,% Texture L2 Miss,% Time Shading Vertices,% Vertex Fetch Stall,Avg Preemption Delay,Fragment Instructions / Second,Fragments Shaded / Second,Textures / Fragment,Vertex Instructions / Second,Vertices Shaded / Second,app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,guardian_gpu_ms,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
24.92,7.414276599884033,8.047494888305664,1.1943402290344238,0.3204407393932342,31.092700958251957,199339868160.0,2024184064.0,-1.0,589460480.0,1093507.75,7.449351787567139,568.0,86.0,13105.0,2.0,54.22042083740234,3163.0,1382.0,3.0,60.0,60.0,60.0,28.0,31.0,29.0,72.0,456.0,3.0,74.51673150062561,0.7040100693702698,2736.0,5.0,70.0,2.40457534790039
25.01,7.414276599884033,8.047494888305664,1.1943402290344238,0.3204407393932342,31.092700958251957,199339868160.0,2024184064.0,-1.0,589460480.0,1093507.75,0.0090239336714148,387.0,41.0,11671.0,2.0,54.22042083740234,3163.0,1382.0,3.0,60.0,60.0,60.0,28.0,31.0,29.0,72.0,456.0,3.0,74.51673150062561,0.7040100693702698,2736.0,5.0,70.0,2.40457534790039
25.02,7.208894729614258,8.015108108520508,1.1777349710464478,0.3192574977874756,31.838768005371094,205362675712.0,2099266816.0,-1.0,591387776.0,1097689.5,0.0090239336714148,387.0,41.0,11671.0,2.0,54.22042083740234,3163.0,1382.0,3.0,60.0,60.0,60.0,28.0,31.0,29.0,72.0,456.0,3.0,74.51673150062561,0.7040100693702698,2736.0,5.0,70.0,2.40457534790039
25.12,7.299774169921875,8.018988609313965,1.194380760192871,0.3524744510650635,36.54493713378906,209488723968.0,2132731264.0,-1.0,617260096.0,1143312.875,0.0090239336714148,387.0,41.0,11671.0,2.0,54.22042083740234,3163.0,1382.0,3.0,60.0,60.0,60.0,28.0,31.0,29.0,72.0,456.0,3.0,74.51673150062561,0.7040100693702698,2736.0,5.0,70.0,2.40457534790039
25.22,7.882979869842529,8.051251411437988,1.2374398708343506,0.3325152397155761,40.580692291259766,209208016896.0,2097182720.0,-1.0,648038528.0,1185917.0,0.0090239336714148,387.0,41.0,11671.0,2.0,54.22042083740234,3163.0,1382.0,3.0,60.0,60.0,60.0,28.0,31.0,29.0,72.0,456.0,3.0,74.51673150062561,0.7040100693702698,2736.0,5.0,70.0,2.40457534790039
25.32,7.219283103942871,8.075995445251465,1.1955715417861938,0.3148637413978576,45.97489929199219,199983906816.0,2030569600.0,-1.0,590329152.0,1094652.5,0.0090239336714148,387.0,41.0,11671.0,2.0,54.22042083740234,3163.0,1382.0,3.0,60.0,60.0,60.0,28.0,31.0,29.0,72.0,456.0,3.0,74.51673150062561,0.7040100693702698,2736.0,5.0,70.0,2.40457534790039
25.42,7.233503818511963,8.026311874389648,1.1862614154815674,0.3085764348506927,50.63273239135742,203340333056.0,2073589120.0,-1.0,591582592.0,1099206.625,0.0090239336714148,387.0,41.0,11671.0,2.0,54.22042083740234,3163.0,1382.0,3.0,60.0,60.0,60.0,28.0,31.0,29.0,72.0,456.0,3.0,74.51673150062561,0.7040100693702698,2736.0,5.0,70.0,2.40457534790039
25.52,7.081742286682129,8.06867790222168,1.1673556566238403,0.296343982219696,47.43095016479492,208102342656.0,2132601600.0,-1.0,592075200.0,1105101.25,0.0090239336714148,387.0,41.0,11671.0,2.0,54.22042083740234,3163.0,1382.0,3.0,60.0,60.0,60.0,28.0,31.0,29.0,72.0,456.0,3.0,74.51673150062561,0.7040100693702698,2736.0,5.0,70.0,2.40457534790039
25.55,7.081742286682129,8.06867790222168,1.1673556566238403,0.296343982219696,47.43095016479492,208102342656.0,2132601600.0,-1.0,592075200.0,1105101.25,7.185734748840332,263.0,48.0,7855.0,1.0,28.747562408447266,3163.0,1382.0,3.0,60.0,60.0,60.0,28.0,31.0,29.0,72.0,456.0,3.0,74.51673150062561,0.7040100693702698,2736.0,5.0,70.0,2.40457534790039
25.62,7.846696376800537,8.051313400268555,1.2417728900909424,0.3377911448478699,50.66951370239258,209687642112.0,2105417856.0,-1.0,649398464.0,1188378.0,7.185734748840332,263.0,48.0,7855.0,1.0,28.747562408447266,3163.0,1382.0,3.0,60.0,60.0,60.0,28.0,31.0,29.0,72.0,456.0,3.0,74.51673150062561,0.7040100693702698,2736.0,5.0,70.0,2.40457534790039
