Time (s),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
10.31,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9677334781.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.32,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9705594761.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.33,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9734225959.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.35,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9762908348.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.36,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9790088282.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.37,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9818178552.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.38,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9839259220.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.39,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9300887997.5,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.4,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9306269065.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.42,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9875631610.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.43,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9906083797.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.44,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9936096732.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.46,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,9948874422.5,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
10.47,0.3667761385440826,145.0,2.0,6661.0,1.0,25.682567596435547,3866.0,8867132699.0,1920.0,3.0,62.0,62.0,57.0,38.0,62.0,54.0,90.0,545.0,2.0,36.33346259593964,3196.0,1.0,1.0,3.302455186843872
